Frequency (Hz)	Level (dB)
289.062500	-47.893517
289.306641	-44.691467
289.550781	-43.153507
289.794922	-43.224171
290.039063	-45.432266
290.283203	-46.072495
290.527344	-47.243092
290.771484	-49.667683
291.015625	-47.518532
291.259766	-45.115231
291.503906	-44.964325
291.748047	-40.989586
291.992188	-42.074833
292.236328	-42.818916
292.480469	-43.150982
292.724609	-45.293182
292.968750	-44.363888
293.212891	-43.388977
293.457031	-43.765125
293.701172	-42.835274
293.945313	-42.555332
294.189453	-42.116283
294.433594	-39.361214
294.677734	-37.142296
294.921875	-39.120770
295.166016	-42.844517
295.410156	-44.777000
295.654297	-43.969776
295.898438	-44.232048
296.142578	-46.946484
296.386719	-46.378586
296.630859	-47.741337
296.875000	-47.359989
297.119141	-47.495193
297.363281	-49.802116
297.607422	-50.712624
297.851563	-47.071545
298.095703	-47.751057
298.339844	-47.267654
298.583984	-48.527794
298.828125	-50.411808
299.072266	-49.748142
299.316406	-48.701969
299.560547	-47.968555
299.804688	-45.168442
300.048828	-42.249695
300.292969	-43.126564
300.537109	-46.078613
300.781250	-47.337177
301.025391	-47.713295
301.269531	-48.581333
301.513672	-51.775398
301.757813	-51.679482
302.001953	-51.760872
302.246094	-51.109512
302.490234	-49.667118
302.734375	-50.633278
302.978516	-50.650894
303.222656	-50.157635
303.466797	-52.281357
303.710938	-52.277531
303.955078	-51.771812
304.199219	-53.933460
304.443359	-52.044373
304.687500	-54.195545
304.931641	-54.325188
305.175781	-53.743908
305.419922	-53.889854
305.664063	-53.005898
305.908203	-52.080681
306.152344	-51.512150
306.396484	-50.826439
306.640625	-49.956440
306.884766	-51.939690
307.128906	-52.770142
307.373047	-51.490417
307.617188	-51.561081
307.861328	-50.170685
308.105469	-49.466587
308.349609	-49.664005
308.593750	-50.162685
