Frequency (Hz)	Level (dB)
262.207031	-35.344475
262.451172	-33.503971
262.695313	-32.759636
262.939453	-32.870213
263.183594	-33.307785
263.427734	-34.082462
263.671875	-34.765942
263.916016	-35.345158
264.160156	-36.118172
264.404297	-36.649334
264.648438	-36.957306
264.892578	-37.086254
265.136719	-37.412857
265.380859	-38.065750
265.625000	-38.740746
265.869141	-39.183155
266.113281	-39.181698
266.357422	-39.534275
266.601563	-40.376045
266.845703	-40.999794
267.089844	-40.910633
267.333984	-40.580555
267.578125	-40.482292
267.822266	-40.680725
268.066406	-41.525532
268.310547	-42.768894
268.554688	-42.874798
268.798828	-42.458637
269.042969	-42.252960
269.287109	-42.204170
269.531250	-42.747013
269.775391	-43.712513
270.019531	-44.481403
270.263672	-44.419666
270.507813	-43.784454
270.751953	-43.067505
270.996094	-42.655254
271.240234	-42.609314
271.484375	-42.335220
271.728516	-41.878971
271.972656	-42.030632
272.216797	-43.076412
272.460938	-44.474659
272.705078	-45.628716
272.949219	-46.468498
273.193359	-46.331264
273.437500	-45.408558
273.681641	-44.440540
273.925781	-44.344028
274.169922	-44.874531
274.414063	-45.234608
274.658203	-44.917828
274.902344	-44.160244
275.146484	-44.138348
275.390625	-44.828968
275.634766	-45.553745
275.878906	-46.262135
276.123047	-46.605736
276.367188	-45.442547
276.611328	-44.034676
276.855469	-44.245399
277.099609	-46.018364
277.343750	-47.627586
277.587891	-47.220417
277.832031	-46.000877
278.076172	-45.151943
278.320313	-44.765034
278.564453	-44.541378
278.808594	-44.431377
279.052734	-43.920879
279.296875	-43.030342
279.541016	-42.911022
279.785156	-43.629841
280.029297	-44.513752
280.273438	-45.499008
280.517578	-46.688427
280.761719	-47.259239
281.005859	-47.659122
281.250000	-47.458977
281.494141	-45.882320
281.738281	-44.372208
281.982422	-43.579491
282.226563	-43.369785
282.470703	-43.545578
282.714844	-43.942486
282.958984	-44.034424
283.203125	-43.943161
283.447266	-43.999802
283.691406	-43.978298
283.935547	-44.151203
284.179688	-44.345016
284.423828	-43.851048
284.667969	-42.883366
